Ward No.,Ward Name,Taluk,Hobli,Assembly Constituency[3],Lok Sabha Constituency[4],Area (km²)[5],Household (HH) - 2011,Population,Population_1,Popn density,Popn density_2,Popn growth rate (%) 2001 - 2011,HH growth rate (%) 2001 - 2011,BBMP Zone[6],BBMP Division,BBMP Sub-Division
79,Sarvagnanagar,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,3.6,9052,34943,37291,9706,10218,6.70,17.10,East,C. V. Raman Nagar,C. V. Raman Nagar
80,Hoysalanagar,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,2.1,8877,35890,35228,17090,17131,-1.80,11.60,East,C. V. Raman Nagar,Jeevanabima Nagar
81,Vignananagar,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,5.7,15419,24757,57062,4343,9935,130.50,165.30,Mahadevapura,Krishnarajapuram,HAL Airport
82,Garudacharpalya,Bangalore East,Whitefield,Mahadevapura,Bangalore Central,6.8,13453,20920,49631,3076,7316,137.20,154.90,Mahadevapura,Krishnarajapuram,Hoodi
83,Kadugudi,Bangalore East,Bidarahalli,Mahadevapura,Bangalore Central,11.2,11423,22205,43942,1983,3934,97.90,122.80,Mahadevapura,Krishnarajapuram,Whitefield
84,Hagadooru,Bangalore East,Whitefield,Mahadevapura,Bangalore Central,12.6,13419,25915,50556,2057,4003,95.10,124.10,Mahadevapura,Krishnarajapuram,Whitefield
85,Doddanekkundi,Bangalore East,Varthur,Mahadevapura,Bangalore Central,12.0,17755,22016,63083,1835,5270,186.5,235.80,Mahadevapura,Krishnarajapuram,Hoodi
86,Marathahalli,Bangalore East,Varthur,Mahadevapura,Bangalore Central,3.1,11051,22489,39768,7255,12679,76.80,107.30,Mahadevapura,Mahadevapura,Marathahalli
87,HAL Airport,Bangalore East,Varthur,Krishnarajapuram,Bangalore North,6.8,10044,33066,39926,4863,5888,20.70,35.20,Mahadevapura,Krishnarajapuram,HAL Airport
88,Jeevanabima Nagar,Bangalore East,Varthur,C. V. Raman Nagar,Bangalore Central,1.9,9741,36152,38251,19027,20286,5.80,17.50,East,C. V. Raman Nagar,Jeevanabima Nagar
89,Jogupalya,Bangalore North,City Circle,Shanthinagar,Bangalore Central,0.9,8806,34611,33793,38457,37452,-2.40,8.40,East,Shanthinagar,Domlur
90,Ulsoor,Bangalore North,City Circle,Shivajinagar,Bangalore Central,1.7,7771,35891,35090,21112,20803,-2.20,10.10,East,Shivajinagar,Shivajinagar
91,Bharathinagar,Bangalore North,City Circle,Shivajinagar,Bangalore Central,0.8,7074,32632,32689,40790,41815,0.20,13.40,East,Shivajinagar,Shivajinagar
92,Shivajinagar,Bangalore North (Additional),City Circle,Shivajinagar,Bangalore Central,0.4,7276,35740,37506,89350,87856,4.90,22.00,East,Shivajinagar,Shivajinagar
93,Vasanthnagar,Bangalore North,City Circle,Shivajinagar,Bangalore Central,3.1,5304,25632,22815,8268,7286,-11.00,-3.40,East,Shivajinagar,Vasanthnagar
94,Gandhinagar,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,1.9,6599,35310,31208,18584,16334,-11.60,-3.90,West,Gandhinagar,Gandhinagar
95,Subhashnagar,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,1.3,8711,35427,37693,27252,28599,6.40,21.50,West,Gandhinagar,Gandhinagar
96,Okalipuram,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,0.8,8693,35875,38110,44844,46279,6.20,16.70,West,Gandhinagar,Gandhinagar
97,Dayanandanagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,0.4,8253,34595,35721,86488,80035,3.30,14.50,West,Rajajinagar,Srirama Mandir
98,Prakashnagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,0.6,8276,35465,32913,59108,57730,-7.20,1.20,West,Rajajinagar,Srirama Mandir
99,Rajajinagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,0.9,8398,33231,33084,36923,38388,-0.40,11.10,West,Rajajinagar,Rajajinagar
100,Basaveshwaranagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,0.8,7495,27002,30333,33753,36191,12.30,21.90,West,Rajajinagar,Rajajinagar
101,Kamakshipalya,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,0.9,7482,25742,30051,28602,33135,16.70,27.90,West,Rajajinagar,Rajajinagar
102,Vrishabhavathi,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,1.0,13443,34339,50893,34339,51187,48.20,63.70,West,Mahalakshmi Layout,Nagapura
103,Kaveripura,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,1.7,14168,35256,53532,20739,32357,51.80,62.90,South,Govindarajanagar,Govindarajanagar
104,Govindarajanagar,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,0.8,6678,25773,26873,32216,34956,4.30,13.80,South,Govindarajanagar,Govindarajanagar
105,Agrahara Dasarahalli,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,0.8,7192,26587,28355,33234,35597,5.60,15.30,South,Govindarajanagar,Govindarajanagar
106,Dr. Rajkumar,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,1.0,6077,24752,24181,24752,24492,-2.30,6.50,South,Govindarajanagar,Govindarajanagar
107,Shivanagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,0.8,9260,35797,36461,44746,46943,1.30,8.60,West,Rajajinagar,Rajajinagar
108,Srirama Mandir,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,1.1,8156,33613,33866,30557,31973,0.80,9.70,West,Rajajinagar,Srirama Mandir
109,Chickpete,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,0.7,6842,33698,33292,48140,46929,-1.20,10.60,West,Gandhinagar,Chickpet
110,Sampangiramanagar,Bangalore North,City Circle,Shivajinagar,Bangalore Central,4.4,6423,33120,27504,7527,6185,-17.00,-7.40,East,Shivajinagar,Vasanthnagar
111,Shanthalanagar,Bangalore North,City Circle,Shanthinagar,Bangalore Central,4.0,5493,30225,22995,7556,5745,-23.90,-13.90,East,Shanthinagar,Shanthinagar
112,Domlur,Bangalore North,City Circle,Shanthinagar,Bangalore Central,1.7,7844,34703,30638,20414,17557,-11.70,-4.30,East,Shanthinagar,Domlur
113,Konena Agrahara,Bangalore South,Begur,C. V. Raman Nagar,Bangalore Central,2.1,10725,29344,38108,13973,17919,29.90,48.00,East,C. V. Raman Nagar,Jeevanabima Nagar
114,Agaram,Bangalore North (Additional),City Circle,Shanthinagar,Bangalore Central,11.0,7734,35632,36916,3239,3345,3.60,12.10,East,Shanthinagar,Domlur
115,Vannarpet,Bangalore North,City Circle,Shanthinagar,Bangalore Central,0.8,8466,35532,37060,44415,48898,4.30,12.50,East,Shanthinagar,Domlur
116,Neelasandra,Bangalore North,City Circle,Shanthinagar,Bangalore Central,0.5,10743,36279,48534,72558,94287,33.80,46.00,East,Shanthinagar,Shanthinagar
117,Shanthinagar,Bangalore North,City Circle,Shanthinagar,Bangalore Central,2.7,9465,36426,42095,13491,15494,15.60,24.30,East,Shanthinagar,Shanthinagar
118,Sudhamanagar,Bangalore North,City Circle,Chickpet,Bangalore South,1.0,5953,32202,28784,32202,28586,-10.60,0.30,South,Chickpet,Kempegowdanagar
119,Dharmarayaswamy Temple,Bangalore North,City Circle,Chickpet,Bangalore South,1.1,5485,33199,27076,30181,24561,-18.40,-11.10,South,Chickpet,Kempegowdanagar
120,Cottonpet,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,0.8,8652,36582,37344,45728,49463,2.10,14.00,West,Gandhinagar,Chickpet
121,Binnipete,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,0.8,9061,33946,37354,42433,48081,10.00,24.20,West,Gandhinagar,Chickpet
122,Kempapura Agrahara,Bangalore North,City Circle,Vijay Nagar,Bangalore South,0.4,10051,33736,40032,84340,113291,18.70,32.30,South,Vijayanagar,Vijayanagar
123,Vijaynagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,0.7,9943,36077,40331,51539,55298,11.80,22.70,South,Vijayanagar,Vijayanagar
124,Hosahalli,Bangalore North,City Circle,Vijay Nagar,Bangalore South,0.9,9068,32103,37347,35670,55298,11.80,22.70,South,Vijayanagar,Vijayanagar
125,Marenahalli,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,0.7,5423,20068,21171,28669,30709,5.50,15.50,South,Govindarajanagar,Govindarajanagar
126,Maruthi Mandira,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,0.8,7716,21784,29319,27230,37155,34.60,46.70,South,Govindarajanagar,Chandra Layout
127,Moodalapalya,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,1.0,11125,24487,43729,24487,45077,78.60,64.60,South,Govindarajanagar,Chandra Layout
128,Nagarabhavi,Bangalore North,Yeshwanthpura-2,Govindraj Nagar,Bangalore South,1.6,8255,20269,35780,12668,22406,76.50,84.80,South,Govindarajanagar,Chandra Layout
129,Jnanabharathi,Bangalore South,Kengeri,Rajarajeshwarinagar,Bangalore Rural,11.9,17410,25889,68132,2176,5743,163.20,187.90,Rajarajeshwarinagar,Rajarajeshwarinagar,Rajarajeshwarinagar
130,Ullalu,Bangalore South,Kengeri,Yeshvanthapura,Bangalore North,8.7,14511,20332,58199,2337,6688,186.20,208.70,Rajarajeshwarinagar,Kengeri,Kengeri
