Ward No.,Ward Name,Taluk,Hobli,Assembly Constituency[3],Lok Sabha Constituency[4],Area (km²)[5],Household (HH) - 2011,Population,Population_1,Popn density,Popn density_2,Popn growth rate (%) 2001 - 2011,HH growth rate (%) 2001 - 2011,BBMP Zone[6],BBMP Division,BBMP Sub-Division
172,Madiwala,Bangalore South,Begur,B.T.M Layout,Bangalore South,1.2,11517,35155,42694,29296,36612,21.20,41.30,South,BTM Layout,BTM Layout
173,Jakkasandra,Bangalore South,Begur,B.T.M Layout,Bangalore South,1.5,9040,24088,33521,16059,22020,39.20,59.70,South,BTM Layout,Koramangala
174,HSR Layout,Bangalore South,Begur,Bommanahalli,Bangalore South,7.1,16847,24749,63033,3486,8879,154.70,182.90,Bommanahalli,Bommanahalli,Bommanahalli
175,Bommanahalli,Bangalore South,Begur,Bommanahalli,Bangalore South,1.8,11368,24307,43585,13504,23819,79.30,92.80,Bommanahalli,Bommanahalli,Bommanahalli
176,BTM Layout,Bangalore South,Begur,B.T.M Layout,Bangalore South,2.1,14540,34436,52250,16398,24688,51.70,77.10,South,BTM Layout,BTM Layout
177,J. P. Nagar,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,1.8,7566,28508,28846,15838,15915,1.20,14.00,South,Jayanagar,J. P. Nagar
178,Sarakki,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,1.3,7985,26707,31034,20544,23305,16.20,28.30,South,Jayanagar,J. P. Nagar
179,Shakambarinagar,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,1.9,6537,23239,25871,12231,13946,11.30,19.80,South,Jayanagar,J. P. Nagar
180,Banashankari Temple,Bangalore South,City Circle,Padmanabhanagar,Bangalore South,0.7,9461,34022,42171,48603,61696,24.00,32.10,South,Padmanabhanagar,Banashankari
181,Kumaraswamy Layout,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,1.8,11881,35384,47182,19658,25514,33.30,44.00,South,Padmanabhanagar,Banashankari
182,Padmanabhanagar,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,1.7,10771,25454,41037,14973,24311,61.20,75.60,South,Padmanabhanagar,Padmanabhanagar
183,Chikkalasandra,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,1.1,11403,24677,43364,22434,39948,75.70,87.80,South,Padmanabhanagar,Padmanabhanagar
184,Uttarahalli,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,9.9,14675,21845,57209,2207,5759,161.90,176.30,Bommanahalli,South,Uttarahalli
185,Yelachenahalli,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,1.6,11338,28000,46943,17500,29234,67.70,85.70,Bommanahalli,South,Uttarahalli
186,Jaraganahalli,Bangalore South,Uttarahalli,Bommanahalli,Bangalore South,1.3,9818,23299,38294,17922,29756,64.40,77.20,Bommanahalli,Bommanahalli,Arakere
187,Puttenahalli,Bangalore South,Uttarahalli,Bommanahalli,Bangalore South,2.9,13230,20544,49207,7084,17137,139.50,171.90,Bommanahalli,Bommanahalli,Arakere
188,Bilekahalli,Bangalore South,Begur,Bommanahalli,Bangalore South,4.3,13186,22510,49884,5235,11721,121.60,143.90,Bommanahalli,Bommanahalli,Arakere
189,Hongasandra,Bangalore South,Begur,Bommanahalli,Bangalore South,2.1,18192,23058,68554,10980,32066,197.30,219.60,Bommanahalli,Bommanahalli,Bommanahalli
190,Mangammanapalya,Bangalore South,Begur,Bommanahalli,Bangalore South,3.5,16903,27391,65890,7826,18956,140.60,162.10,Bommanahalli,Bommanahalli,Bommanahalli
191,Singasandra,Bangalore South,Begur,Bangalore South,Bangalore Rural,9.7,18214,21410,71004,2207,7283,231.60,241.50,Bommanahalli,South,Begur
192,Begur,Bangalore South,Begur,Bangalore South,Bangalore Rural,19.0,21322,19287,80037,1015,4216,315.00,389.30,Bommanahalli,South,Begur
193,Arakere,Bangalore South,Begur,Bommanahalli,Bangalore South,6.6,15272,25003,58355,3788,8810,133.40,157.10,Bommanahalli,Bommanahalli,Arakere
194,Gottigere,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,7.4,13457,21526,51911,2909,7049,141.20,165.20,Bommanahalli,South,Kothanur
195,Konanakunte,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,3.4,14984,20181,57335,5936,16761,184.10,212.90,Bommanahalli,South,Kothanur
196,Anjanapura,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,11.4,11049,21080,45608,1849,3997,116.40,135.10,Bommanahalli,South,Kothanur
197,Vasanthapura,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,5.7,16079,24522,62057,4302,10852,153.10,167.70,Bommanahalli,South,Uttarahalli
198,Hemmigepura,Bangalore South,Kengeri,Yeshvanthapura,Bangalore North,30.5,12687,24311,50440,797,1652,107.50,138.80,Rajarajeshwarinagar,Kengeri,Kengeri
